level,id,totalCount,verifiedCount,medoidId,proteinG_numericCount,proteinG_nullCount,proteinG_mean,proteinG_median,proteinG_p25,proteinG_p75,proteinG_min,proteinG_max,proteinG_stddev,proteinG_mad,carbsG_numericCount,carbsG_nullCount,carbsG_mean,carbsG_median,carbsG_p25,carbsG_p75,carbsG_min,carbsG_max,carbsG_stddev,carbsG_mad,fiberG_numericCount,fiberG_nullCount,fiberG_mean,fiberG_median,fiberG_p25,fiberG_p75,fiberG_min,fiberG_max,fiberG_stddev,fiberG_mad,fatG_numericCount,fatG_nullCount,fatG_mean,fatG_median,fatG_p25,fatG_p75,fatG_min,fatG_max,fatG_stddev,fatG_mad,declaredKcal_numericCount,declaredKcal_nullCount,declaredKcal_mean,declaredKcal_median,declaredKcal_p25,declaredKcal_p75,declaredKcal_min,declaredKcal_max,declaredKcal_stddev,declaredKcal_mad
exchangeProfileId,fat-oil,5,5,matieres-grasses-virgin-coconut-oil,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,6.92,6.8,6.8,7.1,6.8,7.1,0.1643,0,5,0,61.6,62,60,63,60,63,1.5166,1
exchangeProfileId,fat-olive,2,2,matieres-grasses-green-olives,2,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,2,0,2.3,2.3,1.9,2.7,1.5,3.1,1.1314,0.8,2,0,1.05,1.05,0.925,1.175,0.8,1.3,0.3536,0.25,2,0,5.85,5.85,5.725,5.975,5.6,6.1,0.3536,0.25,2,0,58.5,58.5,58.25,58.75,58,59,0.7071,0.5
exchangeProfileId,fat-seed,5,5,noix-graines-pumpkin-seeds-dried,5,0,2.52,3,1.8,3,1.6,3.2,0.7563,0.2,5,0,1.3,1.1,0.9,1.5,0.9,2.1,0.5099,0.2,5,0,0.68,0.7,0.6,0.8,0.4,0.9,0.1924,0.1,5,0,4.84,4.9,4.9,4.9,4.6,4.9,0.1342,0,5,0,54.2,55,53,56,50,57,2.7749,2
exchangeProfileId,fat-seed-butter,2,2,noix-graines-tahini,2,0,1.8,1.8,1.75,1.85,1.7,1.9,0.1414,0.1,2,0,2.35,2.35,2.225,2.475,2.1,2.6,0.3536,0.25,2,0,0.75,0.75,0.675,0.825,0.6,0.9,0.2121,0.15,2,0,5.75,5.75,5.575,5.925,5.4,6.1,0.495,0.35,2,0,64,64,62,66,60,68,5.6569,4
exchangeProfileId,fat-seed-high-fibre,2,2,noix-graines-ground-chia-seeds,2,0,1.55,1.55,1.425,1.675,1.3,1.8,0.3536,0.25,2,0,3.3,3.3,2.65,3.95,2,4.6,1.8385,1.3,2,0,2.85,2.85,2.375,3.325,1.9,3.8,1.3435,0.95,2,0,3.2,3.2,3.1,3.3,3,3.4,0.2828,0.2,2,0,45,45,41,49,37,53,11.3137,8
exchangeProfileId,fruit-standard,33,33,fruits-cherries-with-pits,33,0,0.9606,0.9,0.5,1.2,0,2.9,0.6144,0.4,33,0,15,15,14.6,15.5,12,18,1.1619,0.5,32,1,2.2844,2.05,1.075,2.825,0.3,8.5,1.8302,0.9,33,0,0.2909,0.2,0.1,0.4,0,0.9,0.217,0.1,33,0,60.3636,60,57,63,51,70,4.9423,3
exchangeProfileId,protein-bar-high-fibre,1,1,autres-sources-proteinees-performance-protein-bar,1,0,10,10,10,10,10,10,,0,1,0,12,12,12,12,12,12,,0,1,0,7.5,7.5,7.5,7.5,7.5,7.5,,0,1,0,3,3,3,3,3,3,,0,1,0,85,85,85,85,85,85,,0
exchangeProfileId,protein-beef-fatty-steak,1,1,viandes-volaille-beef-ribeye-steak,1,0,8.3,8.3,8.3,8.3,8.3,8.3,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,5.6,5.6,5.6,5.6,5.6,5.6,,0,1,0,86,86,86,86,86,86,,0
exchangeProfileId,protein-beef-isolate,1,1,autres-sources-proteinees-scoop-beef-protein-isolate,1,0,11.5,11.5,11.5,11.5,11.5,11.5,,0,1,0,3,3,3,3,3,3,,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,,0,1,0,0,0,0,0,0,0,,0,1,0,60,60,60,60,60,60,,0
exchangeProfileId,protein-beef-lean-steak,2,2,viandes-volaille-beef-tenderloin-steak,2,0,9.25,9.25,8.975,9.525,8.7,9.8,0.7778,0.55,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1.8,1.8,1.7,1.9,1.6,2,0.2828,0.2,2,0,57,57,54.5,59.5,52,62,7.0711,5
exchangeProfileId,protein-beef-standard,1,1,viandes-volaille-beef,1,0,10.5,10.5,10.5,10.5,10.5,10.5,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,3,3,3,3,3,3,,0,1,0,74,74,74,74,74,74,,0
exchangeProfileId,protein-canned-chicken,1,1,viandes-volaille-canned-chicken-in-water-drained,1,0,7.6,7.6,7.6,7.6,7.6,7.6,,0,1,0,0.3,0.3,0.3,0.3,0.3,0.3,,0,1,0,0,0,0,0,0,0,,0,1,0,2.4,2.4,2.4,2.4,2.4,2.4,,0,1,0,56,56,56,56,56,56,,0
exchangeProfileId,protein-canned-fish,2,2,poissons-fruits-mer-canned-pink-salmon,2,0,12.1,12.1,11.6,12.6,11.1,13.1,1.4142,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2.8,2.8,2.35,3.25,1.9,3.7,1.2728,0.9,2,0,75,75,68,82,61,89,19.799,14
exchangeProfileId,protein-canned-fish-lean,2,2,poissons-fruits-mer-canned-tuna-in-water-drained,2,0,11.05,11.05,10.825,11.275,10.6,11.5,0.6364,0.45,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0.85,0.85,0.625,1.075,0.4,1.3,0.6364,0.45,2,0,55,55,53.5,56.5,52,58,4.2426,3
exchangeProfileId,protein-casein-micellar,1,1,autres-sources-proteinees-scoop-micellar-casein,1,0,12,12,12,12,12,12,,0,1,0,2,2,2,2,2,2,,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,,0,1,0,60,60,60,60,60,60,,0
exchangeProfileId,protein-chicken-dark-meat,2,2,viandes-volaille-chicken-drumstick,2,0,7.35,7.35,7.325,7.375,7.3,7.4,0.0707,0.05,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2.05,2.05,1.875,2.225,1.7,2.4,0.495,0.35,2,0,50.5,50.5,48.75,52.25,47,54,4.9497,3.5
exchangeProfileId,protein-chicken-with-skin,1,1,viandes-volaille-chicken-thigh-with-skin,1,0,7,7,7,7,7,7,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,4.4,4.4,4.4,4.4,4.4,4.4,,0,1,0,70,70,70,70,70,70,,0
exchangeProfileId,protein-collagen-incomplete,1,1,autres-sources-proteinees-hydrolyzed-collagen,1,0,9,9,9,9,9,9,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,35,35,35,35,35,35,,0
exchangeProfileId,protein-deli-ham,1,1,viandes-volaille-deli-meats,1,0,4.4,4.4,4.4,4.4,4.4,4.4,,0,1,0,1.7,1.7,1.7,1.7,1.7,1.7,,0,1,0,0,0,0,0,0,0,,0,1,0,1.2,1.2,1.2,1.2,1.2,1.2,,0,1,0,37,37,37,37,37,37,,0
exchangeProfileId,protein-duck,1,1,viandes-volaille-duck,1,0,7,7,7,7,7,7,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,3.4,3.4,3.4,3.4,3.4,3.4,,0,1,0,60,60,60,60,60,60,,0
exchangeProfileId,protein-egg-substitute-powder,1,1,autres-sources-proteinees-egg-substitute-powder,1,0,10,10,10,10,10,10,,0,1,0,3.9,3.9,3.9,3.9,3.9,3.9,,0,1,0,0,0,0,0,0,0,,0,1,0,2.3,2.3,2.3,2.3,2.3,2.3,,0,1,0,80,80,80,80,80,80,,0
exchangeProfileId,protein-egg-white-cooked,1,1,autres-sources-proteinees-egg-whites,1,0,10,10,10,10,10,10,,0,1,0,1.2,1.2,1.2,1.2,1.2,1.2,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,48,48,48,48,48,48,,0
exchangeProfileId,protein-egg-white-wrap,1,1,autres-sources-proteinees-egglife-wrap,1,0,11,11,11,11,11,11,,0,1,0,1,1,1,1,1,1,,0,1,0,0,0,0,0,0,0,,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,,0,1,0,50,50,50,50,50,50,,0
exchangeProfileId,protein-fat-soy-nut,1,1,noix-graines-roasted-soy-nuts-unsalted,1,0,5.8,5.8,5.8,5.8,5.8,5.8,,0,1,0,4.5,4.5,4.5,4.5,4.5,4.5,,0,1,0,2.7,2.7,2.7,2.7,2.7,2.7,,0,1,0,3.8,3.8,3.8,3.8,3.8,3.8,,0,1,0,70,70,70,70,70,70,,0
exchangeProfileId,protein-fatty-fish,8,8,poissons-fruits-mer-canned-sardines,8,0,7.3625,7.15,7.05,7.525,6.6,8.7,0.6589,0.25,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,3.4,3.45,2.725,3.9,1.7,5.3,1.165,0.8,8,0,61.875,62,58.25,65,47,79,10.2878,5
exchangeProfileId,protein-fish-moderate-fat,2,2,poissons-fruits-mer-sea-bass,2,0,10.6,10.6,10.6,10.6,10.6,10.6,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2.4,2.4,1.8,3,1.2,3.6,1.6971,1.2,2,0,66.5,66.5,61.25,71.75,56,77,14.8492,10.5
exchangeProfileId,protein-game-lean,8,8,viandes-volaille-venison,8,0,9.05,8.9,8.5,9.225,8.4,10.5,0.7131,0.4,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,1.1375,0.95,0.675,1.425,0.4,2.4,0.6718,0.35,8,0,47.875,47.5,43.75,50,40,59,6.0104,4
exchangeProfileId,protein-ground-beef-extra-lean,1,1,viandes-volaille-extra-lean-ground-beef,1,0,9.2,9.2,9.2,9.2,9.2,9.2,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,3,3,3,3,3,3,,0,1,0,67,67,67,67,67,67,,0
exchangeProfileId,protein-ground-beef-lean,1,1,viandes-volaille-lean-ground-beef,1,0,8.7,8.7,8.7,8.7,8.7,8.7,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,4.5,4.5,4.5,4.5,4.5,4.5,,0,1,0,77,77,77,77,77,77,,0
exchangeProfileId,protein-ground-beef-medium,1,1,viandes-volaille-medium-ground-beef,1,0,8.8,8.8,8.8,8.8,8.8,8.8,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,5.3,5.3,5.3,5.3,5.3,5.3,,0,1,0,86,86,86,86,86,86,,0
exchangeProfileId,protein-ground-beef-regular,1,1,viandes-volaille-regular-ground-beef,1,0,8.6,8.6,8.6,8.6,8.6,8.6,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,6.7,6.7,6.7,6.7,6.7,6.7,,0,1,0,97,97,97,97,97,97,,0
exchangeProfileId,protein-ground-poultry,2,2,viandes-volaille-lean-ground-chicken,2,0,7.65,7.65,7.325,7.975,7,8.3,0.9192,0.65,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2.95,2.95,2.775,3.125,2.6,3.3,0.495,0.35,2,0,58,58,57.5,58.5,57,59,1.4142,1
exchangeProfileId,protein-ground-veal,1,1,viandes-volaille-ground-veal,1,0,7.3,7.3,7.3,7.3,7.3,7.3,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,2.3,2.3,2.3,2.3,2.3,2.3,,0,1,0,52,52,52,52,52,52,,0
exchangeProfileId,protein-jerky,1,1,viandes-volaille-natural-beef-jerky,1,0,6.6,6.6,6.6,6.6,6.6,6.6,,0,1,0,2.2,2.2,2.2,2.2,2.2,2.2,,0,1,0,0.4,0.4,0.4,0.4,0.4,0.4,,0,1,0,5.1,5.1,5.1,5.1,5.1,5.1,,0,1,0,82,82,82,82,82,82,,0
exchangeProfileId,protein-lamb,1,1,viandes-volaille-lamb,1,0,9.3,9.3,9.3,9.3,9.3,9.3,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,2.4,2.4,2.4,2.4,2.4,2.4,,0,1,0,59,59,59,59,59,59,,0
